,OID,Site,long,lat,utmE,utmN,date
167,177,unconfirmed hillfort,16.11793653,43.64623981,4815215.172,2302085.028,R
168,178,unconfirmed hillfort,16.17101208,43.62378777,4819684.421,2299954.292,IA
169,179,unconfirmed hillfort,16.19099249,43.61082526,4821406.474,2298654.432,IA
170,180,unconfirmed hillfort,16.25675318,43.61041502,4826711.419,2299050.125,EBA
171,181,unconfirmed hillfort,16.09597085,43.68902413,4813082.341,2306670.604,LBA
172,182,unconfirmed hillfort,16.10747216,43.69389597,4813967.016,2307284.762,R
173,183,unconfirmed hillfort,16.12298606,43.69505956,4815206.151,2307515.521,EBA
174,184,unconfirmed hillfort,16.13802788,43.68840349,4816474.004,2306878.921,IA
175,185,unconfirmed hillfort,16.19784199,43.65962832,4821538.022,2304095.041,R
176,186,unconfirmed hillfort,16.18580424,43.65402403,4820616.586,2303395.239,R
177,187,unconfirmed hillfort,16.17694222,43.67418772,4819729.383,2305565.306,LBA
178,188,unconfirmed hillfort,15.73478149,43.85473009,4782668.984,2322696.99,IA
179,189,unconfirmed hillfort,15.72366641,43.84216461,4781876.452,2321238.811,LBA
180,190,unconfirmed hillfort,15.62775062,43.85745329,4774049.86,2322345.08,LBA
